lat,lng
36.1626358,-112.7129822
36.16265488,-112.7130356
36.16274643,-112.7131653
36.16280365,-112.7132492
36.16286469,-112.7133789
36.16295624,-112.7135315
36.16300964,-112.7136917
36.16302109,-112.7137451
36.16306686,-112.7138672
36.16309357,-112.7140274
36.1631546,-112.7141571
36.16316986,-112.7141953
36.16316605,-112.7141953
36.1631813,-112.7143173
36.16317749,-112.7145615
36.16317368,-112.714798
36.16314316,-112.715065
36.16315079,-112.7152634
36.16316605,-112.7153702
36.16324997,-112.7156067
36.1632576,-112.7156296
36.16333771,-112.7158737
36.16338348,-112.7160187
36.16342926,-112.7161331
36.16353607,-112.7161789
36.16374207,-112.7162781
36.16392136,-112.7164612
36.16393661,-112.7164764
36.16409683,-112.7167206
36.1641922,-112.7168961
36.16434097,-112.7171021
36.1644516,-112.7173386
36.16446686,-112.7175446
36.16448593,-112.7177506
36.16448975,-112.7180176
36.16454697,-112.7182617
36.16458893,-112.718338
36.16469955,-112.7185898
36.1648407,-112.7187958
36.16493988,-112.7190247
36.16494751,-112.7190552
36.16501999,-112.7193222
36.16505432,-112.7193832
36.16513062,-112.7196579
36.16515732,-112.7197037
36.16520691,-112.7198868
36.16522217,-112.7199554
36.16523361,-112.7200394
36.16530228,-112.7202606
36.16541672,-112.7203903
36.16556168,-112.7204819
36.16567993,-112.7204819
36.16587067,-112.7205277
36.16596985,-112.7205429
36.16609955,-112.7206268
36.16611099,-112.7206345
36.16614532,-112.7206726
36.16627884,-112.7206955
36.16641998,-112.7206497
36.16661072,-112.7206345
36.16678619,-112.7206345
36.16699219,-112.7206192
36.16716003,-112.7205658
36.16740799,-112.7204132
36.16753006,-112.7203598
36.16769409,-112.7203293
36.16777802,-112.7202988
36.16791916,-112.7202225
36.16798401,-112.7200928
36.16820145,-112.7199326
36.16827393,-112.719902
36.16856384,-112.7198563
36.16878128,-112.7198029
36.16902542,-112.7196732
36.1692543,-112.7195587
36.16941071,-112.7194977
36.16960144,-112.7194367
36.16981888,-112.7193375
36.16989517,-112.7190857
36.16991425,-112.7188797
36.17005157,-112.7186737
36.17029953,-112.7184448
36.17033386,-112.7184219
36.17042542,-112.7183914
36.17033386,-112.7183228
36.17037582,-112.718338
36.1703949,-112.7183456
36.17048645,-112.7183456
36.17041016,-112.718338
36.17024994,-112.7183075
36.17027283,-112.7182999
36.17033005,-112.7183304
36.17034531,-112.718338
36.17041397,-112.718338
36.17062378,-112.7183304
36.17086411,-112.7183991
36.17107391,-112.7184372
36.1713028,-112.7184372
36.17142105,-112.7183151
36.17147446,-112.7182694
36.17164612,-112.7180939
36.1717186,-112.7179108
36.17191315,-112.7176971
36.17210007,-112.7174683
36.17232132,-112.7173233
36.17255783,-112.7171936
36.17266083,-112.7171555
36.17289734,-112.7171326
36.17315292,-112.7171936
36.17338943,-112.7172546
36.17346573,-112.7172394
36.17372131,-112.7170715
36.17391586,-112.7168732
36.17412186,-112.7168121
36.17432785,-112.7168732
36.1743927,-112.7169037
